epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1448718011379242,0.0010000000474974513,3.0481150150299072,0.35641026496887207,2.754474639892578
1,0.36346152424812317,0.0010000000474974513,2.4596712589263916,0.4692307710647583,2.1270976066589355
2,0.5083333253860474,0.0010000000474974513,1.9143590927124023,0.5769230723381042,1.6872910261154175
3,0.620512843132019,0.0010000000474974513,1.5443629026412964,0.6410256624221802,1.396996259689331
4,0.6897435784339905,0.0010000000474974513,1.2893460988998413,0.7179487347602844,1.1917543411254883
5,0.7487179636955261,0.0010000000474974513,1.1057052612304688,0.7461538314819336,1.0393303632736206
6,0.781410276889801,0.0010000000474974513,0.9674888253211975,0.7923076748847961,0.920720100402832
7,0.807692289352417,0.0010000000474974513,0.8597450256347656,0.8153846263885498,0.8240407109260559
8,0.8256410360336304,0.0010000000474974513,0.7733412384986877,0.8358974456787109,0.7441706657409668
9,0.8423076868057251,0.0010000000474974513,0.7025231122970581,0.8461538553237915,0.676277220249176
10,0.853205144405365,0.0010000000474974513,0.6430526971817017,0.8512820601463318,0.6194647550582886
11,0.8653846383094788,0.0010000000474974513,0.5930222868919373,0.8589743375778198,0.5704427361488342
12,0.8762820363044739,0.0010000000474974513,0.5498553514480591,0.8743589520454407,0.5267678499221802
13,0.8846153616905212,0.0010000000474974513,0.5117539167404175,0.8820512890815735,0.4888320565223694
14,0.8974359035491943,0.0010000000474974513,0.4781370759010315,0.892307698726654,0.45529651641845703
15,0.9089743494987488,0.0010000000474974513,0.4483722746372223,0.8948717713356018,0.42541319131851196
16,0.9205127954483032,0.0010000000474974513,0.42130452394485474,0.9153845906257629,0.39840537309646606
17,0.9275640845298767,0.0010000000474974513,0.3969849944114685,0.9179487228393555,0.3741830587387085
18,0.9307692050933838,0.0010000000474974513,0.37468746304512024,0.9230769276618958,0.35275623202323914
19,0.9333333373069763,0.0010000000474974513,0.3546817898750305,0.9410256147384644,0.33298954367637634
