epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.18397435545921326,0.0010000000474974513,4.112994194030762,0.3282051384449005,4.0624918937683105
1,0.39358973503112793,0.0010000000474974513,3.165372133255005,0.5384615659713745,3.5458614826202393
2,0.5115384459495544,0.0010000000474974513,2.7112903594970703,0.5769230723381042,2.92020320892334
3,0.5839743614196777,0.0010000000474974513,2.354915142059326,0.7410256266593933,2.2504470348358154
4,0.6410256624221802,0.0010000000474974513,2.0886988639831543,0.807692289352417,1.7263269424438477
5,0.6794871687889099,0.0010000000474974513,1.8538813591003418,0.8589743375778198,1.435714602470398
6,0.6948717832565308,0.0010000000474974513,1.6765550374984741,0.8564102649688721,1.2019908428192139
7,0.7269230484962463,0.0010000000474974513,1.512794852256775,0.8846153616905212,1.0632470846176147
8,0.7666666507720947,0.0010000000474974513,1.3747910261154175,0.9205127954483032,0.9429498314857483
9,0.7775641083717346,0.0010000000474974513,1.3056182861328125,0.9025641083717346,0.8817698359489441
10,0.7910256385803223,0.0010000000474974513,1.2063909769058228,0.9076923131942749,0.7999056577682495
11,0.7846153974533081,0.0010000000474974513,1.1525870561599731,0.8897435665130615,0.7754541039466858
12,0.817307710647583,0.0010000000474974513,1.0531384944915771,0.9076923131942749,0.7419238686561584
13,0.8339743614196777,0.0010000000474974513,0.9696184396743774,0.9230769276618958,0.6955033540725708
14,0.8102564215660095,0.0010000000474974513,0.9618855714797974,0.9256410002708435,0.6105700135231018
15,0.8256410360336304,0.0010000000474974513,0.9145896434783936,0.9461538195610046,0.5610442757606506
16,0.8333333134651184,0.0010000000474974513,0.8689978718757629,0.9564102292060852,0.5383877754211426
17,0.8339743614196777,0.0010000000474974513,0.8654488325119019,0.9435897469520569,0.5325454473495483
18,0.8512820601463318,0.0010000000474974513,0.8020046353340149,0.9487179517745972,0.5233434438705444
19,0.8442307710647583,0.0010000000474974513,0.7771454453468323,0.9435897469520569,0.4512227475643158
20,0.8589743375778198,0.0010000000474974513,0.7341660857200623,0.9410256147384644,0.4511735439300537
21,0.870512843132019,0.0010000000474974513,0.7279740571975708,0.9615384340286255,0.42253929376602173
22,0.8897435665130615,0.0010000000474974513,0.6569076180458069,0.9615384340286255,0.38795360922813416
23,0.875,0.0010000000474974513,0.6772198677062988,0.9538461565971375,0.40653195977211
24,0.8756410479545593,0.0010000000474974513,0.6665480136871338,0.9461538195610046,0.4226905107498169
25,0.8730769157409668,0.0010000000474974513,0.6472756266593933,0.9589743614196777,0.3879760801792145
26,0.8871794939041138,0.0010000000474974513,0.5934028625488281,0.9692307710647583,0.34157490730285645
27,0.8903846144676208,0.0010000000474974513,0.5948196053504944,0.9564102292060852,0.35281187295913696
28,0.875,0.0010000000474974513,0.6115384101867676,0.9615384340286255,0.3359949290752411
29,0.906410276889801,0.0010000000474974513,0.5385707020759583,0.9666666388511658,0.314206063747406
30,0.8993589878082275,0.0010000000474974513,0.5515717267990112,0.971794843673706,0.31539666652679443
31,0.8852564096450806,0.0010000000474974513,0.5740385055541992,0.9820512533187866,0.284108430147171
32,0.8916666507720947,0.0010000000474974513,0.549185574054718,0.9410256147384644,0.3588077127933502
33,0.8903846144676208,0.0010000000474974513,0.5599132180213928,0.9461538195610046,0.38843441009521484
34,0.8884615302085876,0.0010000000474974513,0.5420154929161072,0.9435897469520569,0.31336960196495056
35,0.8826923370361328,0.0010000000474974513,0.5405562520027161,0.9769230484962463,0.2767159938812256
36,0.8980769515037537,0.0010000000474974513,0.5137981176376343,0.9589743614196777,0.3527310788631439
37,0.8839743733406067,0.0010000000474974513,0.5341604351997375,0.9769230484962463,0.2689087986946106
38,0.8839743733406067,0.0010000000474974513,0.5436896681785583,0.9615384340286255,0.33308494091033936
39,0.9025641083717346,0.0010000000474974513,0.5023102760314941,0.971794843673706,0.28303655982017517
40,0.8801282048225403,0.0010000000474974513,0.5382429957389832,0.9615384340286255,0.3057994246482849
41,0.9128205180168152,0.0010000000474974513,0.46644115447998047,0.9615384340286255,0.29868096113204956
42,0.910897433757782,0.0010000000474974513,0.4775168299674988,0.971794843673706,0.26088276505470276
43,0.8833333253860474,0.0010000000474974513,0.5252811908721924,0.9564102292060852,0.29465484619140625
44,0.8942307829856873,0.0010000000474974513,0.5087045431137085,0.9769230484962463,0.26196521520614624
45,0.8955128192901611,0.0010000000474974513,0.5061801671981812,0.9589743614196777,0.2800605297088623
46,0.889102578163147,0.0010000000474974513,0.5117186307907104,0.9666666388511658,0.283192902803421
47,0.9044871926307678,0.0010000000474974513,0.47138240933418274,0.9820512533187866,0.2415551394224167
48,0.9019230604171753,0.0010000000474974513,0.48498037457466125,0.9538461565971375,0.2753434479236603
49,0.9019230604171753,0.0010000000474974513,0.4809764325618744,0.971794843673706,0.274806410074234
